id,overall_qual,year_built,year_remod/add,mas_vnr_area,exter_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_cars,garage_area,lifespan,foundation_BrkTil,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone
2658,6,1910,1950,0.0,1,0,1020,908,1928,2,0.0,9,0,1,440,96,0,0,0,0,1,0,0,0,1,0
2718,5,1977,1977,0.0,1,0,1967,1967,1967,2,1.0,10,0,2,580,29,0,1,0,0,0,0,0,0,1,0
2414,7,2006,2006,0.0,2,554,654,664,1496,2,2.0,7,1,2,426,0,0,0,1,0,0,0,0,0,1,0
1989,5,1923,2006,0.0,2,0,968,968,968,1,1.0,5,0,2,480,84,0,1,0,0,0,0,0,0,1,0
625,6,1963,1963,247.0,1,609,1394,1394,1394,1,1.0,6,2,2,514,46,0,1,0,0,0,0,0,1,0,0
333,4,1972,1972,0.0,1,294,546,546,1092,1,1.0,5,0,1,286,38,0,1,0,0,0,0,0,0,1,0
1327,4,1958,2006,0.0,1,0,869,1093,1093,1,1.0,5,0,1,308,50,0,1,0,0,0,0,0,0,1,0
858,5,1977,1989,0.0,1,196,1268,1268,1268,1,2.0,5,0,1,252,32,0,1,0,0,0,0,0,0,1,0
95,7,2004,2004,0.0,2,0,840,840,1680,2,2.0,3,0,2,588,6,0,0,1,0,0,0,0,0,1,0
1568,6,1977,1977,0.0,1,641,1196,1279,1279,2,1.0,6,2,2,473,31,0,1,0,0,0,0,0,0,1,0
2482,6,1991,1991,0.0,2,278,1217,1217,1217,2,2.0,5,0,2,484,15,0,0,1,0,0,0,0,0,1,0
1364,6,1925,1992,0.0,1,0,1040,1040,1040,1,1.0,5,0,2,320,83,0,1,0,0,0,0,0,0,1,0
2584,6,1954,1954,0.0,1,0,1367,1375,1375,1,1.0,5,1,2,451,52,0,1,0,0,0,0,0,0,1,0
818,7,2000,2000,23.0,1,820,1168,1168,2787,4,1.0,8,2,4,820,9,0,0,1,0,0,0,0,1,0,0
2673,6,1924,1996,0.0,1,0,848,1017,1827,1,1.0,9,1,1,240,82,1,0,0,0,0,0,0,0,1,0
2089,5,1957,2006,98.0,1,0,0,1340,1340,1,1.0,7,1,1,252,50,0,0,1,0,0,0,0,1,0,0
1297,6,1940,1950,0.0,1,590,884,884,1436,2,1.0,8,2,2,828,68,0,1,0,0,0,0,0,0,1,0
790,5,1956,1956,0.0,1,257,1073,1073,1073,1,1.0,5,0,1,340,53,0,1,0,0,0,0,0,0,1,0
2616,6,1961,1992,104.0,1,913,1313,1773,1773,2,1.0,6,2,2,418,45,0,1,0,0,0,0,0,1,0,0
720,8,1882,1986,0.0,2,216,916,916,1742,1,2.0,8,1,2,424,127,1,0,0,0,0,0,0,0,1,0
222,5,1968,2001,0.0,1,188,1060,1060,1060,1,2.0,6,1,1,270,42,0,1,0,0,0,0,0,0,1,0
557,5,1961,1961,0.0,1,660,864,864,864,1,1.0,5,0,2,732,48,0,1,0,0,0,0,0,0,1,0
1148,6,1993,1994,0.0,2,165,1604,1617,1617,2,2.0,5,1,2,533,15,0,0,1,0,0,0,0,0,1,0
2766,6,1969,1969,0.0,1,938,938,988,988,1,1.0,4,2,2,540,37,0,1,0,0,0,0,0,0,1,0
534,7,2007,2007,0.0,2,0,1218,1218,1218,1,2.0,6,0,2,576,2,0,0,1,0,0,0,0,0,1,0
1452,5,1972,1972,0.0,1,390,864,864,864,1,1.0,5,0,1,352,36,0,1,0,0,0,0,0,0,1,0
630,4,1920,2007,0.0,1,0,715,1281,1738,2,1.0,7,1,1,368,89,1,0,0,0,0,0,0,0,1,0
2648,5,1880,1991,0.0,1,0,636,1089,1750,1,3.0,8,0,1,240,126,1,0,0,0,0,0,0,0,1,0
125,6,1963,1963,156.0,1,763,936,1054,1054,1,2.0,6,0,2,480,47,0,0,1,0,0,0,0,1,0,0
1904,3,1945,1950,0.0,1,144,370,442,670,1,0.0,4,0,0,0,62,0,1,0,0,0,0,0,0,1,0
1670,4,1971,1971,0.0,1,322,858,858,858,1,1.0,4,0,1,684,36,0,1,0,0,0,0,0,0,1,0
756,4,1925,1950,0.0,1,152,780,848,1208,1,1.0,5,0,2,539,84,0,1,0,0,0,0,0,0,1,0
717,7,1880,2003,0.0,2,0,1240,1320,2640,1,2.0,8,1,4,864,129,0,0,0,0,1,0,0,0,1,0
1032,5,1973,2000,0.0,1,1084,1176,1178,1178,1,2.0,5,1,2,439,35,0,1,0,0,0,0,0,0,1,0
852,7,2001,2001,180.0,2,24,1492,1492,1492,2,2.0,6,1,2,608,8,0,0,1,0,0,0,0,1,0,0
1731,7,2006,2007,44.0,1,0,608,608,1458,2,2.0,6,0,2,454,1,0,0,1,0,0,0,0,0,0,1
2639,4,1920,1980,0.0,1,284,1147,1147,1657,1,0.0,9,1,1,162,86,0,0,1,0,0,0,0,0,1,0
2071,4,1945,1950,0.0,0,0,0,998,998,1,1.0,5,0,2,460,62,0,0,0,1,0,0,0,0,1,0
1267,5,1953,1996,0.0,2,0,105,910,910,1,2.0,5,0,2,414,55,0,0,0,0,1,0,0,0,1,0
1851,7,1999,2000,0.0,2,0,1339,1358,1358,2,2.0,5,0,2,625,8,0,0,1,0,0,0,0,0,1,0
567,6,2009,2009,76.0,2,0,612,612,1224,2,2.0,4,0,2,528,0,0,0,1,0,0,0,0,0,0,1
2439,7,1998,1999,0.0,2,0,930,956,1886,2,2.0,10,1,2,431,8,0,0,1,0,0,0,0,0,1,0
1898,5,1959,2002,0.0,1,405,1063,1327,1327,1,2.0,7,0,2,624,48,0,1,0,0,0,0,0,0,1,0
647,5,1951,2000,70.0,2,650,1008,1363,1363,1,1.0,6,2,1,288,58,0,1,0,0,0,0,1,0,0,0
2256,7,1987,1987,352.0,2,949,1501,1501,1501,2,2.0,5,2,2,512,20,1,0,0,0,0,0,0,1,0,0
979,4,1970,2008,0.0,1,0,546,798,1344,1,1.0,6,1,0,0,39,0,1,0,0,0,0,0,0,1,0
1444,7,2001,2002,162.0,2,486,920,920,1786,2,2.0,6,1,2,608,7,0,0,1,0,0,0,0,1,0,0
2485,5,1965,1965,0.0,1,641,828,965,965,1,1.0,6,0,1,300,41,0,1,0,0,0,0,0,0,1,0
157,5,1956,2000,0.0,1,248,936,936,936,1,1.0,4,0,1,308,54,0,1,0,0,0,0,0,0,1,0
88,5,1963,1963,0.0,1,824,1040,1040,1040,1,1.0,5,0,1,308,47,0,1,0,0,0,0,0,0,1,0
2003,5,1930,1950,0.0,1,324,912,912,1248,1,1.0,6,0,1,160,77,0,1,0,0,0,0,0,0,1,0
186,8,1890,2002,0.0,2,0,346,1157,2268,3,2.0,7,0,2,624,120,0,0,0,0,1,0,0,0,1,0
1425,8,2007,2007,156.0,2,0,1615,1615,1615,2,2.0,7,1,3,864,1,0,0,1,0,0,0,0,0,0,1
2695,5,1938,1995,0.0,1,0,803,803,1360,1,2.0,6,0,1,297,68,0,1,0,0,0,0,0,0,1,0
738,5,1924,1950,444.0,1,220,468,822,1142,1,1.0,6,0,1,320,85,1,0,0,0,0,0,0,1,0,0
395,6,1969,2005,0.0,1,439,1026,1026,1026,1,2.0,5,0,2,440,40,0,1,0,0,0,0,0,0,1,0
1353,7,1925,1950,0.0,1,329,1026,1133,1820,2,1.0,8,0,1,240,83,0,0,1,0,0,0,0,0,1,0
1878,5,1958,1983,0.0,1,457,1024,1344,1344,1,1.0,6,1,1,484,49,0,1,0,0,0,0,0,0,1,0
390,7,1975,1975,0.0,1,636,1176,1193,1193,2,1.0,5,1,2,506,34,0,1,0,0,0,0,0,0,1,0
1456,7,2000,2000,0.0,2,735,992,992,1865,2,2.0,7,1,3,839,8,0,0,1,0,0,0,0,0,1,0
1103,8,1998,1998,495.0,2,1660,1982,2006,2006,2,2.0,5,1,3,938,10,0,0,1,0,0,0,0,1,0,0
1387,5,1920,1950,0.0,1,1300,1300,1140,1140,1,1.0,6,0,2,400,88,0,0,1,0,0,0,0,0,1,0
2070,5,1958,1998,340.0,1,190,1158,1176,1176,1,1.0,6,2,1,303,49,0,1,0,0,0,0,0,1,0,0
1199,7,1971,1971,0.0,1,583,825,845,1670,1,1.0,7,0,2,464,37,0,1,0,0,0,0,0,0,1,0
2479,6,1992,1992,0.0,2,387,761,810,1603,2,2.0,7,0,2,484,14,0,0,1,0,0,0,0,0,1,0
501,8,1994,1995,634.0,2,236,2024,2063,2063,2,2.0,7,2,3,815,15,0,0,1,0,0,0,0,1,0,0
2362,4,1971,1971,0.0,1,614,858,858,858,1,1.0,5,0,0,0,35,0,1,0,0,0,0,0,0,1,0
1718,6,2005,2006,182.0,2,1030,1302,1302,1302,1,2.0,5,1,2,631,2,0,0,1,0,0,0,0,0,0,1
2188,3,1931,2006,0.0,1,544,544,774,774,1,2.0,6,0,0,0,76,1,0,0,0,0,0,0,0,1,0
1483,6,2004,2004,147.0,2,697,848,848,848,1,2.0,3,1,2,420,4,0,0,1,0,0,0,0,1,0,0
2557,4,1926,1953,108.0,1,0,600,747,747,1,1.0,5,0,2,528,80,0,0,1,0,0,0,0,1,0,0
437,8,2007,2007,20.0,2,1230,1508,1508,2520,2,3.0,10,1,3,640,2,0,0,1,0,0,0,0,0,0,1
2224,6,1960,1960,423.0,1,540,1560,1560,1560,1,1.0,6,3,2,580,47,0,1,0,0,0,0,0,1,0,0
1628,7,1991,1992,76.0,2,0,384,802,1472,2,2.0,7,1,2,402,16,0,0,1,0,0,0,0,1,0,0
397,5,1971,1971,178.0,1,500,1043,1050,1050,1,1.0,6,0,1,336,38,0,1,0,0,0,0,0,1,0,0
587,6,1967,1976,359.0,1,528,1680,1724,1724,1,1.0,7,1,2,480,42,0,1,0,0,0,0,0,1,0,0
971,5,1960,2006,75.0,1,0,0,1771,1771,1,1.0,9,1,2,336,49,0,0,0,1,0,0,0,1,0,0
2611,6,1962,1985,161.0,1,701,1135,1207,1207,1,1.0,6,0,1,264,44,0,1,0,0,0,0,1,0,0,0
1887,5,1959,1959,0.0,1,0,0,882,882,1,1.0,5,0,1,294,48,0,0,0,1,0,0,0,0,1,0
2399,9,2004,2005,674.0,3,1383,1780,1780,1780,2,3.0,7,1,3,816,2,0,0,1,0,0,0,0,1,0,0
2148,7,2002,2002,100.0,2,0,1459,1459,1459,2,2.0,6,1,2,527,5,0,0,1,0,0,0,0,1,0,0
304,6,1921,1975,0.0,1,308,629,727,1107,1,1.0,5,0,1,625,89,1,0,0,0,0,0,0,0,1,0
1997,5,1930,2005,0.0,1,316,687,687,1358,1,2.0,6,1,1,336,77,1,0,0,0,0,0,0,0,1,0
2817,4,1910,2000,0.0,1,173,676,760,1436,2,1.0,6,0,2,528,96,0,1,0,0,0,0,0,0,1,0
1431,6,1997,1997,0.0,1,462,616,616,1688,2,2.0,8,0,2,603,11,0,0,1,0,0,0,0,0,1,0
427,8,2008,2009,306.0,3,0,2042,2042,2042,2,3.0,8,1,3,1390,1,0,0,1,0,0,0,0,1,0,0
263,5,1972,1972,0.0,1,480,876,876,876,1,1.0,5,0,2,484,38,0,1,0,0,0,0,0,0,1,0
598,6,1971,1971,509.0,1,962,1232,1320,1320,2,1.0,5,1,2,495,38,0,1,0,0,0,0,0,1,0,0
2895,8,1981,1981,653.0,2,0,1686,1707,1707,2,1.0,6,1,2,511,25,0,1,0,0,0,0,0,1,0,0
687,6,1948,1994,0.0,1,120,864,1064,1495,1,1.0,6,0,2,576,61,0,1,0,0,0,0,0,0,1,0
1822,5,1962,2001,0.0,1,588,999,999,999,1,2.0,6,0,1,264,45,0,1,0,0,0,0,0,0,1,0
2191,4,1910,2000,0.0,1,0,560,796,1346,1,1.0,6,0,1,384,97,0,1,0,0,0,0,0,0,1,0
179,6,1938,2000,0.0,1,0,827,827,1251,1,0.0,6,0,1,240,72,0,0,1,0,0,0,0,0,1,0
1009,8,1988,1989,0.0,2,767,1228,1228,1228,2,2.0,5,1,2,472,20,0,0,1,0,0,0,0,0,1,0
2010,5,1939,1998,0.0,1,306,728,728,1274,2,1.0,6,0,1,224,68,0,1,0,0,0,0,0,0,1,0
1991,6,1927,1950,0.0,1,196,728,914,1642,1,1.0,9,1,1,374,80,1,0,0,0,0,0,0,0,1,0
1411,5,1956,1956,0.0,1,870,1509,1509,1509,1,2.0,6,1,1,322,52,0,1,0,0,0,0,0,0,1,0
1721,8,2006,2006,108.0,2,24,1554,1554,1554,2,2.0,6,1,2,627,1,0,0,1,0,0,0,0,0,0,1
1144,6,2001,2001,0.0,2,472,827,827,1677,2,2.0,7,0,2,627,7,0,0,1,0,0,0,0,0,1,0
593,8,2001,2001,0.0,2,643,810,810,1665,2,2.0,6,0,2,528,8,0,0,1,0,0,0,0,0,1,0
575,8,1977,2008,450.0,3,1252,1694,1694,1694,2,3.0,5,1,2,642,32,0,1,0,0,0,0,0,1,0,0
1249,6,1957,1957,360.0,1,0,998,1790,1790,2,1.0,6,2,2,540,51,0,1,0,0,0,0,0,1,0,0
1604,5,1984,1985,0.0,1,658,876,923,923,1,1.0,5,0,1,264,24,0,1,0,0,0,0,0,0,1,0
1064,10,2003,2003,680.0,3,2257,2535,2470,2470,1,3.0,7,2,3,789,5,0,0,1,0,0,0,0,0,0,1
1923,6,1957,1957,0.0,1,777,1244,1244,1244,1,1.0,6,2,1,336,50,0,1,0,0,0,0,0,0,1,0
1988,5,1945,1997,0.0,1,329,686,866,866,1,2.0,4,0,0,0,62,0,1,0,0,0,0,0,0,1,0
2325,6,1993,1994,112.0,1,518,697,697,1501,2,2.0,6,1,2,420,13,0,0,1,0,0,0,0,1,0,0
114,6,1978,1978,0.0,1,687,1224,1287,1891,3,1.0,7,1,2,678,32,0,0,1,0,0,0,0,0,1,0
2700,6,1964,1964,0.0,1,0,1921,1921,1921,2,1.0,8,0,2,576,42,0,1,0,0,0,0,0,0,1,0
217,4,1967,1967,72.0,0,704,1832,1832,1832,2,1.0,8,0,0,0,43,0,1,0,0,0,0,0,1,0,0
343,6,1974,1974,440.0,1,844,1434,1434,1434,2,1.0,7,1,2,528,35,0,1,0,0,0,0,0,1,0,0
386,8,2000,2001,0.0,2,0,1058,1058,1874,2,2.0,7,1,2,588,9,0,0,1,0,0,0,0,0,1,0
2005,4,1949,2002,0.0,1,0,0,1382,1382,2,1.0,6,1,1,384,58,0,0,0,1,0,0,0,0,1,0
2908,5,2006,2006,0.0,1,0,1140,1140,1140,1,1.0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1814,7,1998,1998,0.0,2,1443,1482,1494,1494,2,2.0,5,1,2,514,9,0,0,1,0,0,0,0,0,1,0
2446,10,1995,1996,1378.0,2,1387,1930,1831,3627,3,2.0,10,1,3,807,11,0,0,1,0,0,0,0,1,0,0
208,5,1900,1996,0.0,1,0,360,1032,1812,2,2.0,8,1,2,672,110,1,0,0,0,0,0,0,0,1,0
1679,5,1970,1970,304.0,1,0,630,630,1302,2,1.0,6,0,2,440,37,0,1,0,0,0,0,0,1,0,0
822,9,2008,2008,364.0,3,1104,1720,1720,1720,2,3.0,8,1,3,846,1,0,0,1,0,0,0,0,0,0,1
6,6,1998,1998,20.0,1,602,926,926,1604,2,2.0,7,1,2,470,12,0,0,1,0,0,0,0,1,0,0
1781,10,2007,2007,754.0,3,1572,1966,1966,1966,2,3.0,6,1,3,1092,0,0,0,1,0,0,0,0,1,0,0
2397,8,2006,2006,788.0,2,0,1085,1120,1970,2,3.0,8,1,3,753,0,0,0,1,0,0,0,0,0,0,1
2340,9,2005,2005,230.0,2,1191,1714,1714,1714,2,2.0,7,1,2,517,1,0,0,1,0,0,0,0,1,0,0
1618,6,1997,1997,0.0,1,182,794,794,1470,2,1.0,6,0,2,388,10,0,0,1,0,0,0,0,0,1,0
2843,4,1912,1950,0.0,2,0,795,954,2230,1,1.0,10,0,1,440,94,0,0,1,0,0,0,0,0,1,0
1061,9,2005,2005,368.0,2,1249,1414,1414,2331,2,3.0,9,1,3,1003,3,0,0,1,0,0,0,0,1,0,0
2786,5,1972,1972,0.0,1,360,864,864,864,1,1.0,5,0,1,288,34,0,1,0,0,0,0,0,0,1,0
1935,5,1953,2006,0.0,1,643,1008,1008,1008,1,2.0,6,0,1,240,54,0,1,0,0,0,0,0,0,1,0
1341,5,1920,1997,0.0,1,68,565,565,1216,1,1.0,6,1,1,355,88,1,0,0,0,0,0,0,0,1,0
521,9,2007,2008,120.0,2,0,1530,1530,1530,2,2.0,7,1,3,984,2,0,0,1,0,0,0,0,0,0,1
2136,5,1976,1976,113.0,1,502,1015,1025,1025,2,1.0,6,1,2,370,31,0,1,0,0,0,0,0,1,0,0
996,6,1998,1998,0.0,1,828,943,943,1638,2,1.0,7,2,2,472,10,0,0,1,0,0,0,0,0,1,0
227,5,1968,1968,0.0,1,267,720,720,1440,1,1.0,7,2,2,480,42,0,1,0,0,0,0,0,0,1,0
135,6,1966,2008,216.0,1,944,1080,1128,1128,1,2.0,5,1,1,315,44,0,1,0,0,0,0,0,1,0,0
1167,6,1999,1999,216.0,1,550,744,757,1549,2,1.0,6,0,2,440,9,0,0,1,0,0,0,0,0,0,1
294,7,1941,1985,371.0,2,426,1528,1225,2133,1,1.0,8,2,1,312,69,1,0,0,0,0,0,0,1,0,0
1776,7,2007,2007,0.0,2,0,1369,1369,1369,2,2.0,5,0,2,605,0,0,0,1,0,0,0,0,0,1,0
540,7,2004,2005,0.0,2,0,1114,1114,1114,1,2.0,6,0,2,576,5,0,0,1,0,0,0,0,0,1,0
1717,6,2005,2006,182.0,2,866,1302,1302,1302,1,2.0,5,1,2,631,2,0,0,1,0,0,0,0,0,0,1
2303,5,1983,1983,0.0,1,596,816,816,816,1,1.0,4,0,1,264,24,0,1,0,0,0,0,0,0,1,0
116,6,1972,2006,0.0,1,982,1161,1381,1381,1,2.0,5,1,2,676,38,0,1,0,0,0,0,0,0,1,0
127,5,1950,1996,0.0,1,49,1078,1078,1078,1,2.0,5,0,1,240,60,0,1,0,0,0,0,0,0,1,0
1371,6,1906,1995,0.0,1,0,756,756,1469,1,1.0,7,0,1,216,102,0,1,0,0,0,0,0,0,1,0
1014,6,1952,1952,0.0,1,0,1632,1474,1474,1,1.0,7,2,2,495,56,0,1,0,0,0,0,0,0,1,0
1507,5,1947,1993,0.0,1,0,0,929,1137,1,1.0,8,0,0,0,61,0,0,0,1,0,0,0,0,1,0
702,5,1952,1952,360.0,1,0,960,960,1960,2,1.0,10,0,2,400,57,0,1,0,0,0,0,0,1,0,0
750,6,1915,1950,0.0,1,0,1048,1048,1768,2,1.0,8,0,2,576,94,0,0,1,0,0,0,0,0,1,0
261,6,1977,1977,153.0,1,378,689,689,1392,1,1.0,6,0,1,299,33,0,1,0,0,0,0,0,1,0,0
1559,4,1920,1950,0.0,1,0,592,432,864,1,0.0,5,0,1,216,88,0,0,0,0,1,0,0,0,1,0
577,7,1981,1981,0.0,2,121,1740,1740,1740,1,2.0,7,0,2,540,28,0,1,0,0,0,0,0,0,1,0
2812,7,2004,2004,0.0,2,0,860,860,1720,2,2.0,7,0,2,565,2,0,0,1,0,0,0,0,0,1,0
2080,6,1954,1954,0.0,1,491,988,988,1626,1,2.0,6,0,1,332,53,0,1,0,0,0,0,0,0,1,0
1368,6,1920,1998,0.0,1,0,901,1088,1198,1,1.0,7,0,0,0,88,1,0,0,0,0,0,0,0,1,0
2376,5,1967,1967,0.0,1,769,864,900,900,1,1.0,6,1,1,288,39,0,1,0,0,0,0,0,0,1,0
659,5,1924,2006,0.0,2,0,768,792,792,1,2.0,5,0,1,240,85,1,0,0,0,0,0,0,0,1,0
1235,5,1955,1955,151.0,1,902,1098,1098,1098,1,1.0,6,0,1,260,53,0,1,0,0,0,0,0,1,0,0
332,4,1970,1970,0.0,1,0,546,546,1092,1,1.0,5,0,0,0,40,0,1,0,0,0,0,0,0,1,0
1917,6,1957,1999,0.0,1,873,936,936,936,1,2.0,4,0,1,315,50,0,1,0,0,0,0,0,0,1,0
2094,7,1991,1991,0.0,2,48,1104,912,2127,2,2.0,8,1,3,833,16,0,0,1,0,0,0,0,0,1,0
1460,8,2001,2002,396.0,2,0,1055,1055,2263,2,2.0,7,1,2,905,7,0,0,1,0,0,0,0,1,0,0
1471,6,1997,1998,215.0,1,994,1478,1493,1493,2,2.0,7,1,2,508,11,0,0,1,0,0,0,0,1,0,0
1509,5,1946,1995,0.0,1,352,768,768,1200,1,1.0,6,0,1,240,62,0,1,0,0,0,0,0,0,1,0
1922,5,1954,2005,0.0,1,480,1056,1056,1056,1,1.0,6,0,1,260,53,0,1,0,0,0,0,0,0,1,0
433,10,2007,2007,472.0,3,2288,2630,2674,2674,2,3.0,8,2,3,762,2,0,0,1,0,0,0,0,0,0,1
460,9,2008,2008,500.0,3,0,1451,1456,1456,2,3.0,6,1,2,539,1,0,0,1,0,0,0,0,1,0,0
1116,8,2007,2007,468.0,1,33,1563,1563,1563,2,2.0,6,1,3,758,1,0,0,1,0,0,0,0,0,0,1
1137,6,2003,2004,0.0,1,814,1114,1114,1114,1,2.0,6,0,2,576,5,0,0,1,0,0,0,0,0,1,0
53,7,2006,2006,14.0,2,16,1145,1145,1145,2,2.0,6,0,2,437,4,0,0,1,0,0,0,0,1,0,0
2354,7,2005,2006,0.0,2,788,960,960,2318,2,2.0,8,1,2,541,1,0,0,1,0,0,0,0,0,1,0
1475,7,2004,2004,50.0,2,24,1445,1445,1445,2,2.0,6,0,2,470,4,0,0,1,0,0,0,0,0,0,1
1761,10,1996,1996,0.0,2,2096,2396,2411,4476,3,3.0,10,2,3,813,11,0,0,1,0,0,0,0,0,1,0
